이름,생년월일,성별,도시
승희엄,2007년 04월 22일 16살,남성,부산 강남구 75로 78
지민강,1980년 12월 27일 43살,여성,부산 강남구 31로 34
준혁정,1951년 01월 09일 72살,남성,부산 강남구 49로 43
재원강,1990년 10월 18일 33살,남성,부산 강남구 53로 11
지효박,2016년 07월 25일 7살,여성,부산 강남구 8로 73
준혁조,1999년 09월 10일 24살,남성,부산 강남구 72로 33
예은김,2010년 08월 21일 13살,여성,부산 강남구 83로 74
준호이,2019년 12월 17일 4살,남성,부산 강남구 38로 36
민성강,2023년 01월 27일 0살,여성,부산 강남구 96로 12
지효엄,2009년 08월 04일 14살,남성,부산 강남구 13로 35
준호조,1982년 02월 17일 41살,여성,부산 강남구 100로 94
예은임,2006년 06월 10일 17살,여성,부산 강남구 93로 88
준혁임,1989년 02월 26일 34살,여성,부산 강남구 10로 52
지원이,1959년 07월 25일 64살,남성,부산 강남구 43로 9
재원정,1959년 01월 15일 64살,여성,부산 강남구 53로 5
지민김,1997년 05월 14일 26살,남성,부산 강남구 81로 72
정연박,2006년 08월 06일 17살,여성,부산 강남구 9로 73
지호윤,1960년 12월 13일 63살,여성,부산 강남구 13로 27
민성엄,1981년 10월 26일 42살,여성,부산 강남구 99로 16
민성장,1956년 02월 21일 67살,남성,부산 강남구 80로 48
은지윤,1986년 09월 14일 37살,남성,부산 강남구 60로 22
윤서정,2011년 09월 27일 12살,여성,부산 강남구 14로 7
지민조,1957년 02월 09일 66살,여성,부산 강남구 80로 69
민지윤,1976년 12월 23일 47살,여성,부산 강남구 94로 10
지호박,2012년 12월 23일 11살,남성,부산 강남구 99로 26
지호이,1950년 12월 23일 73살,여성,부산 강남구 53로 82
세훈조,1960년 06월 07일 63살,여성,부산 강남구 13로 39
민성임,1960년 05월 23일 63살,남성,부산 강남구 15로 57
민성최,1954년 04월 13일 69살,남성,부산 강남구 98로 11
민준정,1998년 07월 01일 25살,여성,부산 강남구 2로 60
윤서임,1955년 03월 02일 68살,남성,부산 강남구 59로 67
민아임,2004년 12월 21일 19살,여성,부산 강남구 82로 6
예은윤,2016년 08월 09일 7살,여성,부산 강남구 53로 93
지호조,1953년 03월 08일 70살,여성,부산 강남구 75로 33
준혁정,1990년 11월 20일 33살,남성,부산 강남구 29로 9
민지엄,1951년 08월 13일 72살,남성,부산 강남구 24로 68
지원임,1989년 07월 23일 34살,남성,부산 강남구 14로 18
예은엄,1954년 09월 16일 69살,여성,부산 강남구 97로 22
재원박,1962년 03월 26일 61살,여성,부산 강남구 80로 28
지호강,2023년 04월 23일 0살,남성,부산 강남구 85로 25
재원엄,1983년 11월 27일 40살,여성,부산 강남구 59로 1
민아박,2018년 10월 24일 5살,여성,부산 강남구 87로 36
지효김,1989년 02월 11일 34살,여성,부산 강남구 94로 74
지원장,2002년 09월 04일 21살,남성,부산 강남구 2로 54
민지엄,2005년 01월 01일 18살,남성,부산 강남구 68로 92
민준김,1983년 11월 13일 40살,남성,부산 강남구 91로 34
예은엄,2019년 10월 19일 4살,남성,부산 강남구 11로 50
준호정,2008년 08월 06일 15살,여성,부산 강남구 16로 32
승희김,1950년 12월 05일 73살,여성,부산 강남구 5로 6
민준임,2007년 09월 23일 16살,여성,부산 강남구 98로 44
재원박,1963년 03월 02일 60살,남성,부산 강남구 84로 82
지호김,1999년 07월 25일 24살,여성,부산 강남구 79로 19
지원임,1999년 03월 21일 24살,남성,부산 강남구 8로 52
예은정,1984년 04월 08일 39살,여성,부산 강남구 87로 1
준호정,1980년 09월 05일 43살,여성,부산 강남구 1로 36
민성박,1985년 01월 12일 38살,남성,부산 강남구 93로 14
민성임,2014년 11월 21일 9살,남성,부산 강남구 75로 20
민성정,1973년 12월 12일 50살,남성,부산 강남구 54로 95
윤서이,1979년 04월 09일 44살,여성,부산 강남구 7로 12
민준김,2020년 01월 26일 3살,여성,부산 강남구 54로 90
세훈박,1981년 01월 24일 42살,남성,부산 강남구 6로 44
서연임,1982년 02월 12일 41살,여성,부산 강남구 96로 68
지효엄,1976년 09월 12일 47살,여성,부산 강남구 82로 84
준혁윤,2003년 08월 01일 20살,여성,부산 강남구 71로 19
